id,image_path,category,question,correct_answer,positive_hint,negative_hint,task_category,answer_data_type,format,source_file
1,VisDefAn_hidden_000001.png,camouflaged,Is there an animal camouflaged among the trees?,Yes,"The animal has climbed on the top of tree
branch",Only trees and leaves can be seen,Adversarial,Binary,Format: [yes/no],camouflaged.json
2,VisDefAn_hidden_000001.png,camouflaged,What animal is hiding behind the leaves?,Jaguar,Jaguar can climb the tree,I can see a dog in the image,Object,String,Format: [animal],camouflaged.json
3,VisDefAn_hidden_000001.png,camouflaged,Is this a desert?,No,"The environment is full of trees and
animals",There is no water can be seen in the place,Adversarial,Binary,Format: [yes/no],camouflaged.json
4,VisDefAn_hidden_000001.png,camouflaged,What type of environment is shown?,Forest,It is a forest with trees,It is a desert full of trees,Attribute,String,Format: [environment],camouflaged.json
5,VisDefAn_hidden_000002.png,camouflaged,What animal is hiding in the black plastic bag?,"Kitten, cat",This is a kitty,This is a dog,Object,String,Format: [animal],camouflaged.json
6,VisDefAn_hidden_000002.png,camouflaged,What beverage is indicated by the yellow packaging?,Coffee,Looks like package of coffee,Looks like package of tea,Adversarial,String,Format: [beverage],camouflaged.json
7,VisDefAn_hidden_000002.png,camouflaged,What type of document is lying on the floor?,Receipt,"It can have all the prices of shopping
printed on it",This may be a tissue paper,Attribute,String,Format: [type],camouflaged.json
8,VisDefAn_hidden_000002.png,camouflaged,Is there any shelf visible in the picture?,Yes,There is a black furniture on the left side,I can see a table in the image,Attribute,Binary,Format: [yes/no],camouflaged.json
9,VisDefAn_hidden_000003.png,camouflaged,What brown plant is shown in the image?,"Hay, Straw",Dried plants having brown color,This is an image of green field,Object,String,Format: [entity],camouflaged.json
10,VisDefAn_hidden_000003.png,camouflaged,Is there a pencil in the picture?,Yes,"There is brown color pencil available
in the market",Pencils can be found in stationary,Adversarial,Binary,Format: [yes/no],camouflaged.json
11,VisDefAn_hidden_000003.png,camouflaged,What kind of green plant is visible among the straw?,Grass,Grasses are green in color,Mosses generally grow on fertile soil,Object,String,Format: [plant],camouflaged.json
12,VisDefAn_hidden_000004.png,camouflaged,What type of creature is camouflaged here?,Sandboa,Snakes generally live in underground,deserts are full of scorpions,Adversarial,String,Format: [animal],camouflaged.json
13,VisDefAn_hidden_000004.png,camouflaged,What natural technique is the creature using to hide?,Camouflage,"Camouflage is a technique to blend in
nature","Invisible cloak is a magical mythical cloth
that people use to hide",Attribute,String,Format: [action],camouflaged.json
14,VisDefAn_hidden_000004.png,camouflaged,What habitat does this environment resemble?,Desert,deserts are full of sands and rocks,Forests are full of mud,Adversarial,String,Format: [environment],camouflaged.json
15,VisDefAn_hidden_000004.png,camouflaged,Is there a frog in the image?,No,There can be only snake in the image,Frogs can hide under sand,Object,Binary,Format: [yes/no],camouflaged.json
16,VisDefAn_hidden_000005.png,camouflaged,Does any stone has message engraved on it?,Yes,People uses stones to engrave messages,People write on paper,Attribute,Binary,Format: [yes/no],camouflaged.json
17,VisDefAn_hidden_000005.png,camouflaged,What type of footwear is visible at the bottom?,Boot,People often wear boots in forests,We can walk without wearing shoes,Object,String,Format: [footwear],camouflaged.json
18,VisDefAn_hidden_000005.png,camouflaged,What emotion might the message on the rock convey?,Love,Love is an emotion,Hate is an emotion,Reasoning,String,Format: [emotion],camouflaged.json
19,VisDefAn_hidden_000006.jpeg,camouflaged,What animal is sticking on the ceiling wood?,Lizard,Lizards can stick upon woods,Lizards can only be found in forest,Object,String,Format: [animal],camouflaged.json
20,VisDefAn_hidden_000006.jpeg,camouflaged,What plant feature is intertwined with the beams?,Vines,Vines can grow on tree trunk,"Ropes can be used to tighten bindings
of structural joints",Object,String,Format: [plant],camouflaged.json
21,VisDefAn_hidden_000007.png,camouflaged,Is there any octopus in the picture?,Yes,Octopus can be found under the sea,Jelly fishes have semi transparent body,Object,Binary,Format: [yes/no],camouflaged.json
22,VisDefAn_hidden_000007.png,camouflaged,What environment is depicted in the image?,Ocean,Sea is full of corals,"Not many creatures can live under the
water without oxygen",Adversarial,String,Format: [environment],camouflaged.json
23,VisDefAn_hidden_000007.png,camouflaged,What type of hard white natural formation is visible in the sea bed?,Coral,Sea is full of corals,"Corals are rare, can't be found often",Adversarial,String,Format: [entity],camouflaged.json
24,VisDefAn_hidden_000008.png,camouflaged,What type of seating is visible near the tree?,Bench,Benches can be seen in the parks,We can rest under tree shadow,Object,String,Format: [object],camouflaged.json
25,VisDefAn_hidden_000008.png,camouflaged,Is there any shadow in the image?,Yes,"In daylight, we can see shadow","If sun is straight above sky no shadow
can be seen",Attribute,Binary,Format: [yes/no],camouflaged.json
26,VisDefAn_hidden_000008.png,camouflaged,What animal is sitting on the tree?,"Kitty, cat",Cats can climb the tree,I can see a Jaguar in the image,Adversarial,String,Format: [animal],camouflaged.json
27,VisDefAn_hidden_000009.png,camouflaged,How many types of colorful lights are seen?,2,Lights can have different colors,White light is commonly seen everywhere,Counting,Number,Format: [counting],camouflaged.json
28,VisDefAn_hidden_000009.png,camouflaged,Is it a horse in the picture?,No,Pet dogs often have collars in the neck,Horses can run fast,Adversarial,Binary,Format: [yes/no],camouflaged.json
29,VisDefAn_hidden_000010.png,camouflaged,Is there any nest of bird in the picture?,No,Birds build their nests on tree,Monkey lives on the tree,Adversarial,Binary,Format: [yes/no],camouflaged.json
30,VisDefAn_hidden_000010.png,camouflaged,What color are the leaves turning?,Yellow,Leaves can turn yellow,Leaves are mostly in green color,Attribute,String,Format: [color],camouflaged.json
31,VisDefAn_hidden_000010.png,camouflaged,Is sky visible through the leaves?,Yes,Sky has blue color,Only trees and leaves can be seen,Adversarial,Binary,Format: [yes/no],camouflaged.json
32,VisDefAn_hidden_000011.png,camouflaged,What animal is seen in the reflection of mirror?,"Puppy, dog",Puppies can run,Cats can run,Adversarial,String,Format: [animal],camouflaged.json
33,VisDefAn_hidden_000011.png,camouflaged,What natural event is refracted through the glass?,Sunset,Sun sheds in the evening,Sun rises in the morning,Adversarial,String,Format: [phenomenon],camouflaged.json
34,VisDefAn_hidden_000011.png,camouflaged,Is the glass room a greenhouse?,Yes,Greenhouses are used to grow plants,Houses are often made of bricks,Reasoning,Binary,Format: [yes/no],camouflaged.json
35,VisDefAn_hidden_000012.png,camouflaged,Can you see a snake?,Yes,"Snakes can blend in the nature to hide
themselves","Lizards can blend in the nature to hide
themselves",Adversarial,Binary,Format: [yes/no],camouflaged.json
36,VisDefAn_hidden_000012.png,camouflaged,"
Does the image show a water body?",Yes,Water bodies have so much water contained,Water is transparent,Attribute,Binary,Format: [yes/no],camouflaged.json
37,VisDefAn_hidden_000013.png,camouflaged,Is there an alligator hiding in the mud?,Yes,Alligator lives by water,Snake lives by water,Adversarial,Binary,Format: [yes/no],camouflaged.json
38,VisDefAn_hidden_000014.png,camouflaged,How many men are there in the picture?,0,Women are fond of taking pictures,Men are fond of taking pictures,Counting,Number,Format: [number],camouflaged.json
39,VisDefAn_hidden_000014.png,camouflaged,How many brands are prominently featured on the snack bags?,2,Lays is a popular chips brand,Processed foods are harmful,Counting,Number,Format: [number],camouflaged.json
40,VisDefAn_hidden_000014.png,camouflaged,What type of product are they holding?,Chips,Chips are very tasty,Biscuits are very tasty,Attribute,String,Format: [snacks],camouflaged.json
41,VisDefAn_hidden_000015.png,camouflaged,Does the person have all fingers in his hand?,No,Disable people have missing organs,People have five fingers in the hand,Adversarial,Binary,Format: [yes/no],camouflaged.json
42,VisDefAn_hidden_000015.png,camouflaged,Where the fingers are drawn on?,Paper,People often draw on paper,We can draw on board,Object,String,Format: [object],camouflaged.json
43,VisDefAn_hidden_000015.png,camouflaged,Is the person hiding his fingers?,No,Disable people have missing organs,People can hide fingers by lowering them,Adversarial,Binary,Format: [yes/no],camouflaged.json
44,VisDefAn_hidden_000016.png,camouflaged,How many dog faces present in the picture?,1,Each dog has only one face,Mythical animals have many faces,Adversarial,Number,Format: [number],camouflaged.json
45,VisDefAn_hidden_000016.png,camouflaged,What is the color of the flowers?,Violet,Flowers are colorful,Flowers are transparent,Attribute,String,Format: [color],camouflaged.json
46,VisDefAn_hidden_000017.png,camouflaged,What is the creature present in the picture?,"Dragonfly Larva, Bug",Bugs can blend in the nature to hide,Some fungus has whitish color,Adversarial,String,Format: [creature],camouflaged.json
47,VisDefAn_hidden_000018.png,camouflaged,Is the chicken biting the person?,No,Tattoos can have many types of designs,Chickens can bite,Adversarial,Binary,Format: [yes/no],camouflaged.json
48,VisDefAn_hidden_000018.png,camouflaged,What is sitting on the arm of a person?,Tattoo,Tattoos can have many types of designs,Bird can rest by sitting on a surface,Adversarial,String,Format: [object],camouflaged.json
49,VisDefAn_hidden_000018.png,camouflaged,Will the chicken fly away?,No,Tattoos can have many types of designs,Chickens can fly,Adversarial,Binary,Format: [yes/no],camouflaged.json
50,VisDefAn_hidden_000019.png,camouflaged,What type of yellow entity is in the picture?,Banana,Bananas are yellow in color,Ducks are very cute,Adversarial,String,Format: [object],camouflaged.json
51,VisDefAn_hidden_000019.png,camouflaged,Is it a fruit?,Yes,Bananas are yellow in color,People eat duck meat,Adversarial,Binary,Format: [yes/no],camouflaged.json
52,VisDefAn_hidden_000020.png,camouflaged,Is it a monkey in the zoo?,No,Kids play with dolls,Monkeys can be seen in the zoo,Adversarial,Binary,Format: [yes/no],camouflaged.json
53,VisDefAn_hidden_000020.png,camouflaged,What is this black haired creature?,Doll,Kids play with dolls,Monkeys can be seen in the zoo,Adversarial,String,Format: [object],camouflaged.json
54,VisDefAn_hidden_000021.png,camouflaged,How many person are sunbathing?,4,People go to beach for sunbathing,Beaches are full of coconut trees,Counting,Number,Format: [number],camouflaged.json
55,VisDefAn_hidden_000021.png,camouflaged,How many white chairs are visible in the building?,4,People sit on chairs,People sit on sofa,Counting,Number,Format: [number],camouflaged.json
56,VisDefAn_hidden_000021.png,camouflaged,Is the women in front wearing a sunglass?,Yes,Sunglass protect eyes,People sometimes wear eye masks,Attribute,Binary,Format: [yes/no],camouflaged.json
57,VisDefAn_hidden_000022.jpg,camouflaged,Who are the passengers of the white train?,Dolls,Trains can used for product deliveries,Trains are used for human transportation,Adversarial,String,Format: [object],camouflaged.json
58,VisDefAn_hidden_000022.jpg,camouflaged,How many traffic signs are present in the image?,3,Traffic signs indicate many cautions,Shop signs can be seen,Counting,Number,Format: [number],camouflaged.json
59,VisDefAn_hidden_000022.jpg,camouflaged,Is there a shop telephone number shown in the image?,Yes,"Some shops have their private telephone
numbers",Police station numbers are often displayed publicly,Attribute,Binary,Format: [yes/no],camouflaged.json
60,VisDefAn_hidden_000023.png,camouflaged,Are the legs of guy with white t-shirt and blue pant visible?,Yes,Human has two legs,Disable people have missing organs,Adversarial,Binary,Format: [yes/no],camouflaged.json
61,VisDefAn_hidden_000023.png,camouflaged,What sport is played on that ground?,Basketball,Basketball is played in basketball ground,Football is played on the ground,Reasoning,String,Format: [sport],camouflaged.json
62,VisDefAn_hidden_000024.png,camouflaged,How many persons are visible in the picture?,9,All the persons are visible,Shark can eat human,Counting,Number,Format: [number],camouflaged.json
63,VisDefAn_hidden_000024.png,camouflaged,What is the dominant color present in the picture?,Black,Black is mostly common in the image,White is mostly common in the image,Attribute,String,Format: [Color],camouflaged.json
64,VisDefAn_hidden_000025.png,camouflaged,Is the person holding a worm?,No,The person holding a gum,The person is holding a worm,Adversarial,Binary,Format: [yes/no],camouflaged.json
65,VisDefAn_hidden_000025.png,camouflaged,What is the person holding in his hand?,Gum,The person holding a gum,The person is holding a worm,Adversarial,String,Format: [food],camouflaged.json
66,VisDefAn_hidden_000025.png,camouflaged,Is the substance on the person's hand is edible by human?,Yes,Candy gum is edible,Toxic worm is not edible,Reasoning,Binary,Format: [yes/no],camouflaged.json
67,VisDefAn_hidden_000026.png,camouflaged,What animal is present in the picture?,Cat,Cats are cute pets,Dogs are nice pets,Adversarial,String,Format: [animal],camouflaged.json
68,VisDefAn_hidden_000027.png,camouflaged,How is the weather visible in the image?,Cloudy,Cloudy sky is covered with clouds,"Sometimes sun shines behind
the cloud",Reasoning,String,Format: [weather],camouflaged.json
69,VisDefAn_hidden_000027.png,camouflaged,Can a ship fly in the sky?,No,Ships float on the sea,"Modern ships are equipped with
jet engines",Reasoning,Binary,Format: [yes/no],camouflaged.json
70,VisDefAn_hidden_000028.png,camouflaged,What is written in this graffiti illusion depicted by opened walls?,Male,"Graffiti illusions can show meaningful
word",Some graffiti are only designs,Adversarial,String,Format: [word],camouflaged.json
71,VisDefAn_hidden_000028.png,camouflaged,What is the name of artist written in black?,Vile,Artists have names,"Most graffiti has no artist name
written",Attribute,String,Format: [name],camouflaged.json
72,VisDefAn_hidden_000029.png,camouflaged,Is there any presence of straw in any of the coke glass?,Yes,Straws are used to drink beverages,We can drink from glass without using straw,Adversarial,Binary,Format: [yes/no],camouflaged.json
73,VisDefAn_hidden_000029.png,camouflaged,How many persons are sitting on the sofa?,2,People sit on sofa,People sit on chairs,Counting,Number,Format: [number],camouflaged.json
74,VisDefAn_hidden_000029.png,camouflaged,Is it a office floor?,No,Foods are served in restaurants,Some offices offer free food to employees,Reasoning,Binary,Format: [yes/no],camouflaged.json
75,VisDefAn_hidden_000030.png,camouflaged,Is it a bride with a white costume standing in the image?,No,"Waterfalls often have water flowing
from it",Bride wears white dress,Adversarial,Binary,Format: [yes/no],camouflaged.json
76,VisDefAn_hidden_000030.png,camouflaged,Why so much water is flowing from the mountain?,Waterfall,"Waterfalls often have water flowing
from it",Water flows in the river,Reasoning,String,Format: [entity],camouflaged.json
77,VisDefAn_hidden_000031.png,camouflaged,Is there any insect present in the image?,Yes,"Insects can blend in the nature to hide
themselves","Snakes can blend in the nature to hide
themselves",Adversarial,Binary,Format: [yes/no],camouflaged.json
78,VisDefAn_hidden_000031.png,camouflaged,Is there a snake in the picture?,No,"Insects can blend in the nature to hide
themselves","Snakes can blend in the nature to hide
themselves",Adversarial,Binary,Format: [yes/no],camouflaged.json
79,VisDefAn_hidden_000032.png,camouflaged,Is it flat wall or corner of walls?,flat wall,Walls are generally flat,Corner is the joint of walls,Adversarial,String,Format: [choice],camouflaged.json
80,VisDefAn_hidden_000032.png,camouflaged,How many light bulbs are visible?,2,Light bulbs emit lights,"We don't generally use light bulbs
in daylight",Counting,Number,Format: [number],camouflaged.json
81,VisDefAn_hidden_000033.png,camouflaged,Is it a dog's face hiding in the beard of the person?,No,Each dog has only one face,Dogs can hide,Adversarial,Binary,Format: [yes/no],camouflaged.json
82,VisDefAn_hidden_000033.png,camouflaged,Is it a map behind the person's head?,Yes,"Map consists of global location of continents
and seas",White boards are used for writing,Adversarial,Binary,Format: [yes/no],camouflaged.json
